Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,2,1102,3,1,2,2,2,2,94,3,2,8,4,1,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,Yes
49,3,279,2,8,1,2,3,1,61,2,2,7,2,2,5130,24907,1,2,23,4,4,1,10,3,3,10,7,1,7,No
37,2,1373,2,2,2,5,4,1,92,2,1,3,3,1,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,Yes
33,3,1392,2,3,4,2,4,2,56,3,1,7,3,2,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,No
27,2,591,2,2,1,4,1,1,40,3,1,3,2,2,3468,16632,9,2,12,3,4,1,6,3,3,2,2,2,2,No
32,3,1005,2,2,2,2,4,1,79,3,1,3,4,1,3068,11864,0,2,13,3,3,0,8,2,2,7,7,3,6,No
59,2,1324,2,3,3,4,3,2,81,4,1,3,1,2,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,No
30,2,1358,2,24,1,2,4,1,67,3,1,3,3,3,2693,13335,1,2,22,4,2,1,1,2,3,1,0,0,0,No
38,3,216,2,23,3,2,4,1,44,2,3,5,3,1,9526,8787,0,2,21,4,2,0,10,2,3,9,7,1,8,No
36,2,1299,2,27,3,4,3,1,94,3,2,1,3,2,5237,16577,6,2,13,3,2,2,17,3,2,7,7,7,7,No
35,2,809,2,16,3,4,1,1,84,4,1,3,2,2,2426,16479,0,2,13,3,3,1,6,5,3,5,4,0,3,No
29,2,153,2,15,2,2,4,2,49,2,2,3,3,1,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,No
31,2,670,2,26,1,2,1,1,31,3,1,7,3,3,2911,15170,1,2,17,3,4,1,5,1,2,5,2,4,3,No
34,2,1346,2,19,2,4,2,1,93,3,1,3,4,3,2661,8758,0,2,11,3,3,1,3,2,3,2,2,1,2,No
28,2,103,2,24,3,2,3,1,50,2,1,3,3,1,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,Yes
29,2,1389,2,21,4,2,2,2,51,4,3,5,1,3,9980,10195,1,2,11,3,3,1,10,1,3,10,9,8,8,No
32,2,334,2,5,2,2,1,1,80,4,1,7,2,3,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,No
22,1,1123,2,16,2,4,4,1,96,4,1,3,4,3,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,No
53,2,1219,3,2,4,2,1,2,78,2,4,4,4,2,15427,22021,2,2,16,3,3,0,31,3,3,25,8,3,7,No
38,2,371,2,2,3,2,4,1,45,3,1,7,4,1,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,No
24,1,673,2,11,2,5,1,2,96,4,2,5,3,3,4011,8232,0,2,18,3,4,1,5,5,2,4,2,1,3,No
36,2,1218,3,9,4,2,3,1,82,2,1,9,1,1,3407,6986,7,2,23,4,2,0,10,4,3,5,3,0,3,Yes
34,2,419,2,7,4,2,1,2,53,3,3,6,2,1,11994,21293,0,2,11,3,3,0,13,4,3,12,6,2,11,No
21,2,391,2,15,2,2,3,1,96,3,1,7,4,1,1232,19281,1,2,14,3,4,0,0,6,3,0,0,0,0,No
34,2,699,2,6,1,4,2,1,83,3,1,7,1,1,2960,17102,2,2,11,3,3,0,8,2,3,4,2,1,3,Yes
53,2,1282,2,5,3,5,3,2,58,3,5,4,3,3,19094,10735,4,2,11,3,4,1,26,3,2,14,13,4,8,No
32,3,1125,2,16,1,2,2,2,72,1,1,7,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,Yes
42,2,691,3,8,4,3,3,1,48,3,2,8,2,2,6825,21173,0,2,11,3,4,1,10,2,3,9,7,4,2,No
44,2,477,2,7,4,4,1,2,42,2,3,1,4,2,10248,2094,3,2,14,3,4,1,24,4,3,22,6,5,17,No
46,2,705,3,2,4,3,2,2,83,3,5,4,1,1,18947,22822,3,2,12,3,4,0,22,2,2,2,2,2,1,No
33,2,924,2,2,3,4,3,1,78,3,1,3,4,1,2496,6670,4,2,11,3,4,0,7,3,3,1,1,0,0,No
44,2,1459,2,10,4,5,4,1,41,3,2,1,4,2,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,No
30,2,125,2,9,2,4,4,1,83,2,1,3,3,1,2206,16117,1,2,13,3,1,0,10,5,3,10,0,1,8,No
39,2,895,3,5,3,6,4,1,56,3,2,9,4,2,2086,3335,3,2,14,3,3,1,19,6,4,1,0,0,0,Yes
24,2,813,2,1,3,4,2,1,61,3,1,7,4,2,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,Yes
43,2,1273,2,2,2,4,4,2,72,4,1,7,3,3,2645,21923,1,2,12,3,4,2,6,3,2,5,3,1,4,No
50,2,869,3,3,2,3,1,1,86,2,1,9,3,2,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,Yes
35,2,890,3,2,3,3,4,2,97,3,1,9,4,2,2014,9687,1,2,13,3,1,0,2,3,3,2,2,2,2,No
